gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,1.2715728290000001,20250904135257333,None,-1,-14,0,-1,-2,0,1,-14,1757008377332799911
0,1.278622151,20250904135257340,None,0,10,1,-1,0,-1,-6,-6,1757008377340035915
0,1.278787613,20250904135257340,None,-3,-9,1,0,1,-2,1,3,1757008377340218305
0,1.286211014,20250904135257348,None,-11,2,1,0,-2,1,-2,-1,1757008377347579240
0,1.2864546780000001,20250904135257348,None,1,-1,2,0,1,0,2,2,1757008377347764253
0,1.301465512,20250904135257363,None,7,-4,-3,-2,-4,-2,-3,1,1757008377362640857
0,1.301649571,20250904135257363,None,-8,-2,-2,-1,-1,-4,-1,-2,1757008377362823963
0,1.308694363,20250904135257370,None,0,0,0,1,1,-2,0,-1,1757008377369985580
0,1.308873892,20250904135257370,None,-2,-1,-8,-16,-3,2,-4,-1,1757008377370166540
0,1.316208125,20250904135257378,None,1,-16,1,2,1,-1,-1,0,1757008377377567052
0,1.3163845539999999,20250904135257378,None,0,31,9,5,-1,-1,-1,-1,1757008377377741813
0,1.331190825,20250904135257393,None,1,-8,1,2,1,-2,-1,0,1757008377392507076
0,1.331421376,20250904135257393,None,-4,-10,-7,-5,-3,-2,-3,-6,1757008377392695665
0,1.338909865,20250904135257400,None,-2,-3,-4,3,-1,0,-1,3,1757008377400069236
0,1.339090586,20250904135257401,None,-1,3,-1,-3,2,0,-3,-9,1757008377400260925
0,1.3461952209999999,20250904135257408,None,-1,-9,-1,0,-4,-3,0,1,1757008377407526731
0,1.34636736,20250904135257408,None,1,8,-2,-5,-4,-1,0,-1,1757008377407678365
0,1.361476422,20250904135257423,None,2,-3,-4,1,1,-2,0,11,1757008377422639846
0,1.361657143,20250904135257423,None,-1,-5,-1,-4,-7,-5,1,-13,1757008377422816753
0,1.369083882,20250904135257431,None,-11,-2,1,2,1,-1,-7,-8,1757008377430256605
0,1.369269133,20250904135257431,None,8,3,2,3,3,0,0,-1,1757008377430437088
0,1.376482964,20250904135257438,None,-7,-5,-2,2,1,-3,3,2,1757008377437720537
0,1.3766527179999999,20250904135257438,None,0,-3,2,-5,-5,-2,-4,0,1757008377437892198
0,1.3919384479999999,20250904135257453,None,2,2,-1,-7,-1,1,1,3,1757008377452978134
0,1.392144204,20250904135257454,None,-2,1,0,1,-4,-1,-3,-7,1757008377453188419
0,1.39923358,20250904135257461,None,-3,-5,-14,-6,-5,-1,0,1,1757008377460299491
0,1.399460078,20250904135257461,None,9,-8,12,3,2,-1,-3,5,1757008377460494518
0,1.406674147,20250904135257468,None,4,23,2,5,0,-1,1,-4,1757008377467774629
0,1.406850338,20250904135257468,None,0,-13,-5,0,1,-1,-2,0,1757008377467943668
0,1.4219028950000001,20250904135257483,None,-4,-7,-3,2,-3,-3,-3,2,1757008377482865810
0,1.422132254,20250904135257484,None,-1,-2,1,-15,-7,-2,0,-5,1757008377483078956
0,1.429218293,20250904135257491,None,-2,0,-3,2,0,-1,-5,-13,1757008377490311622
0,1.429448843,20250904135257491,None,2,-12,-1,1,0,0,1,1,1757008377490503072
0,1.436491251,20250904135257498,None,-1,-1,-3,3,1,0,1,1,1757008377497711181
0,1.436655283,20250904135257498,None,-6,-6,-1,1,-3,-2,4,-2,1757008377497891187
0,1.451618433,20250904135257513,None,1,-2,-3,-5,0,-3,-1,0,1757008377512731790
0,1.4518432620000001,20250904135257513,None,-6,3,2,1,-1,-4,-1,-1,1757008377512925386
0,1.458850384,20250904135257520,None,3,0,2,-3,-1,-1,-1,-1,1757008377520096063
0,1.459043742,20250904135257520,None,-2,-6,-8,-3,-1,0,0,-1,1757008377520270347
0,1.466443778,20250904135257528,None,-2,0,1,-1,-2,0,0,4,1757008377527634859
0,1.46660328,20250904135257528,None,-1,7,4,2,-6,-3,1,-3,1757008377527815818
0,1.481916428,20250904135257543,None,-4,-16,-6,-3,1,1,-1,-2,1757008377542887926
0,1.482200385,20250904135257544,None,-2,6,1,-6,-8,-3,-4,-1,1757008377543176651
0,1.488943339,20250904135257550,None,-3,6,-1,-1,-1,-4,-1,0,1757008377550115346
0,1.4891278749999999,20250904135257551,None,0,-11,-3,-7,0,1,1,2,1757008377550307989
0,1.496161461,20250904135257558,None,-8,-5,-2,4,2,0,-2,-1,1757008377557471990
0,1.496345282,20250904135257558,None,4,0,-3,-8,-5,-3,-7,-15,1757008377557610511
0,1.5116612919999999,20250904135257573,None,4,2,-2,3,1,-4,1,-1,1757008377572662591
0,1.511935711,20250904135257573,None,0,1,-2,4,0,-1,-1,2,1757008377572867155
